"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2812","Normal/Others","WS/MP141/2023-2024/80688-Construction of stadiums","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of stadium","12-Jan-2024","1000000","22-Feb-2024"
"2813","Normal/Others","WS/MP141/2023-2024/80689-Construction of stadiums","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of stadium","12-Jan-2024","1000000","28-Feb-2024"
"2814","Normal/Others","WS/MP141/2023-2024/80690-Construction of stadiums","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of stadiums","12-Jan-2024","1000000","28-Feb-2024"
"2815","Normal/Others","WS/MP141/2023-2024/80691-Construction of stadiums","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of stadiums","12-Jan-2024","250000","13-Feb-2024"
"2816","Normal/Others","WS/MP141/2023-2024/80692-Street lights","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","street lights","12-Jan-2024","490200","07-Mar-2024"
"2817","Normal/Others","WS/MP141/2023-2024/80693-Street lights","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","street lights","12-Jan-2024","258000","29-Feb-2024"
"2818","Normal/Others","WS/MP189/2023-2024/80903-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Balance C.C. Road near Karil Vriksh","12-Jan-2024","1479633","14-Mar-2024"
"2819","Normal/Others","WS/MP188/2023-2024/80940-Construction of stadiums","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","The total amount for the proposed works in connection to the stadium is Rs 1,11,65,000 as per the latest revised estimate received from the Muzzafarnagar district administration. However, Rs 87,35,000 (as per the first estimate) has already been released at an earlier stage. Thus, the remaining Rs 24,30,000 is being sanctioned now from my end towards the completion of the necessary works of the stadium. The stadium will be located in the land of Junior High School, Sautu (block - Shahpur)","12-Jan-2024","2430000","16-Mar-2024"
"2820","Normal/Others","WS/MP103/2023-2024/80984-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat nalchha Block nalchha","12-Jan-2024","205000","01-Mar-2024"
"2821","Normal/Others","WS/MP103/2023-2024/80985-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in  Gram Panchayat bagdi Block nalchha","12-Jan-2024","205000","01-Mar-2024"
"2822","Normal/Others","WS/MP103/2023-2024/80986-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat talwadaBlock nalchha","12-Jan-2024","205000","01-Mar-2024"
"2823","Normal/Others","WS/MP103/2023-2024/80987-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Bedwapura Block nalchha","12-Jan-2024","205000","01-Mar-2024"
"2824","Normal/Others","WS/MP103/2023-2024/80988-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter  With Fire Fighter PUMP inGram Panchayat Nimbola Block Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2825","Normal/Others","WS/MP103/2023-2024/80989-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in GP Bikhron Block Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2826","Normal/Others","WS/MP103/2023-2024/80990-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter with Fire Fighter PUMP in  Gram Panchayat Khalghat  Block  Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2827","Normal/Others","WS/MP103/2023-2024/80991-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Gujri Block Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2828","Normal/Others","WS/MP103/2023-2024/80992-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter with Fire Fighter PUMP in Gram Panchayat Chikatyabad Block Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2829","Normal/Others","WS/MP103/2023-2024/80993-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter with Fire Fighter PUMP in Gram Panchayat Dhapla Block  Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2830","Normal/Others","WS/MP103/2023-2024/80994-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter  with Fire Fighter PUMP in Gram Panchayat Sundrel Block  Dharampuri","12-Jan-2024","205000","01-Mar-2024"
"2831","Normal/Others","WS/MP103/2023-2024/80995-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Asukhedi Block Nalchha","12-Jan-2024","205000","01-Mar-2024"
"2832","Normal/Others","WS/MP103/2023-2024/80996-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Ghatgara Block Badnawar","12-Jan-2024","205000","01-Mar-2024"
"2833","Normal/Others","WS/MP103/2023-2024/80997-Purchase of mobile water tankers","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter with Fire fighter PUMP in Gram Panchayat Aali Block Nalchha","12-Jan-2024","205000","01-Mar-2024"
"2834","Normal/Others","WS/MP192/2023-2024/81141-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Chiti  me Shamshan ghat par Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nandu Pradhan-9548460570","12-Jan-2024","660000","07-Mar-2024"
"2835","Normal/Others","WS/MP192/2023-2024/81142-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village shiwali mandir Jaitwar Piyawali ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya-9717662250","12-Jan-2024","481715","07-Mar-2024"
"2836","Normal/Others","WS/MP192/2023-2024/81143-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Thakurdwara Mandir Piyawali Tajpur par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya -9717662250","12-Jan-2024","659782","07-Mar-2024"
"2837","Normal/Others","WS/MP192/2023-2024/81144-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Durga mandir Jaitwar Piyawali me. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya -9717662250","12-Jan-2024","659782","07-Mar-2024"
"2838","Normal/Others","WS/MP192/2023-2024/81145-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Baba Darmshala ke gher Jaitwarpur Piyawali ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya -9717662250","12-Jan-2024","659782","07-Mar-2024"
"2839","Normal/Others","WS/MP192/2023-2024/81146-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Duriyai Panchayat ghar ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Veerpal Pradhan 9350008896","12-Jan-2024","659782","07-Mar-2024"
"2840","Normal/Others","WS/MP192/2023-2024/81147-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Tilapta me Veer singh Pradhan ke ghar ke pass chok par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Sundar Pradhan 9313952075","12-Jan-2024","659782","07-Mar-2024"
"2841","Normal/Others","WS/MP192/2023-2024/81148-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Luhari me Jatav Colony Mandir ke pass. chok par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Narendra Pradhan-9412225222","12-Jan-2024","659782","07-Mar-2024"
"2842","Normal/Others","WS/MP192/2023-2024/81149-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Ladpura me Deeraj ke ghar ke samne talab par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Amit Bhati-9311999155","12-Jan-2024","659782","07-Mar-2024"
"2843","Normal/Others","WS/MP192/2023-2024/81150-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Dujana me main chaurahe per. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Ompal pramukh-9810539808","12-Jan-2024","659782","07-Mar-2024"
"2844","Normal/Others","WS/MP192/2023-2024/81151-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Dujana me ratan singh ke ghar ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-babli Nagar-9811066536","12-Jan-2024","659782","07-Mar-2024"
"2845","Normal/Others","WS/MP192/2023-2024/81152-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Jila karyalay Bhajpa Tilapta karanwas ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Gajendra Mavi-9899167108","12-Jan-2024","659782","07-Mar-2024"
"2846","Normal/Others","WS/MP192/2023-2024/81153-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Khatana Deerkhera me pulk e pass.. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Vijendra pramukh-9971596889","12-Jan-2024","659782","07-Mar-2024"
"2847","Normal/Others","WS/MP192/2023-2024/81154-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Chithehara me bich raste paraw par.. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Vijendra pramukh-9971596889","12-Jan-2024","659782","07-Mar-2024"
"2848","Normal/Others","WS/MP192/2023-2024/81155-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Birondi chaksenpur me Gajendra mavi ke ghar ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Gajendra mavi-98991671089971596889","12-Jan-2024","659782","07-Mar-2024"
"2849","Normal/Others","WS/MP192/2023-2024/81156-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Milak Khatana me school ke pass chaurahe par Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Vijendra pramukh-9971596889","12-Jan-2024","659782","07-Mar-2024"
"2850","Normal/Others","WS/MP192/2023-2024/81157-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Village Anandpur me talab ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Vijendra pramukh-9971596889","12-Jan-2024","659782","07-Mar-2024"
"2851","Repair and Renovation","WS/MP140/2024-2025/81283-Construction of community centers and community halls","Punjab","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","New Construction of Training Hall at PHC in Kiratpur Sahib Distt. Rupnagar. (Nagar panchayat Kiratpur Sahib)","13-Jan-2024","2500000","12-Aug-2024"
"2852","Normal/Others","WS/MP052/2024-2025/81406-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of P. C. C. Road from Mohan wasi das house to Narayan vaypari's house in sanichari bangali colony Ward No.2  of yogapatti block west champaran bihar. Estimated amount rs. 600000.","13-Jan-2024","596968","09-Oct-2024"
"2853","Normal/Others","WS/MP052/2023-2024/81477-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of P. C. C. Road from vaiju yadav's house to nareah's yadav house in dakshin teluhwa, vill- Naurahi Ward No.15  of  Nautan block west champaran bihar. Estimated amount rs. 1000000.","13-Jan-2024","995385","01-Mar-2024"
"2854","Normal/Others","WS/MP052/2024-2025/81491-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of P. C. C. Road from rajdev paswan's house to uday ojha's house in Badhadwa Kala Purvi of Kotwa block east champaran bihar. Estimated amount rs. 1000000.","13-Jan-2024","989459","11-Jul-2024"
"2855","Normal/Others","WS/MP192/2023-2024/81621-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) Nagarpalika Dankor ke ward no.6 jhajhar Road ke Ghasi Mandir ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Deepak Chiyarman -8630192568","13-Jan-2024","659782","07-Mar-2024"
"2856","Normal/Others","WS/MP192/2023-2024/81622-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) Nagarpalika Dankor ke ward no.9 Dhanori Road Khera dewat  Mandir ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-Deepak Chiyarman 8630192568","13-Jan-2024","660000","07-Mar-2024"
"2857","Normal/Others","WS/MP192/2023-2024/81623-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , kasba Jewar me tahsil ke samne yatri shed ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","659782","07-Mar-2024"
"2858","Normal/Others","WS/MP192/2023-2024/81624-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , kasba Jewar me Khurja Jewar Road ke samne yatri shed ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","659782","07-Mar-2024"
"2859","Normal/Others","WS/MP192/2023-2024/81625-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Nagar Panchayat jahangirpur me prachin shiv mandir chauk Jhajhar Road per. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","659782","07-Mar-2024"
"2860","Normal/Others","WS/MP192/2023-2024/81626-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Nagar Panchayat jahangirpur me Main market road Atar singh ke gate ke pass Sachin meena ki dukan ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","659782","07-Mar-2024"
"2861","Normal/Others","WS/MP192/2023-2024/81627-Installing community drinking water plants","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Public Drinking Water /ATM- Village Piyawali me pathwari mandir par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya-9717662250","13-Jan-2024","984000","07-Mar-2024"
"2862","Normal/Others","WS/MP192/2023-2024/81628-Installing community drinking water plants","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Public Drinking Water /ATM- Jila karyalay Bhajpa tilapta karanwash ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Gajendra mavi-9899167108","13-Jan-2024","984000","07-Mar-2024"
"2863","Normal/Others","WS/MP192/2023-2024/81629-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Piyawali Tajpur Jatav Basti ke pass. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Nitesh Sishodiya-9717662250","13-Jan-2024","805000","07-Mar-2024"
"2864","Normal/Others","WS/MP192/2023-2024/81630-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Eldeco society G.Noida ke pass. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Gajendra Mavi-9899167108","13-Jan-2024","805000","07-Mar-2024"
"2865","Normal/Others","WS/MP192/2023-2024/81631-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Dujana stedium par. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. ContacInstallation of Multy-Gym Equipment- Village Dujana stedium par. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Ompal Pradhan-9810539808 t- Ompal Pradhan-9810539808","13-Jan-2024","805000","07-Mar-2024"
"2866","Normal/Others","WS/MP192/2023-2024/81632-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village ladpura me panchayat Ghar me. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Amit Bhati-09311999155","13-Jan-2024","805000","07-Mar-2024"
"2867","Normal/Others","WS/MP192/2023-2024/81633-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Ghanghola me Barat Ghar me. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact-Rajesh p- 9311624720","13-Jan-2024","805000","07-Mar-2024"
"2868","Normal/Others","WS/MP192/2023-2024/81634-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Kanarsi me tainki ke maidan me. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact-Rajeev Nagar-9811722900","13-Jan-2024","805000","07-Mar-2024"
"2869","Normal/Others","WS/MP192/2023-2024/81637-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Dadupur me Samll Park par. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Sultan Nagar-9412540707","13-Jan-2024","805000","07-Mar-2024"
"2870","Normal/Others","WS/MP186/2023-2024/81741-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","reterning wall and beautification","14-Jan-2024","4989848","23-Feb-2024"
"2871","Normal/Others","WS/MP186/2023-2024/81744-Construction of shelters for animals","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of chaff warehouse and boundary wall for public destitute cow shelter.","14-Jan-2024","4596799","23-Feb-2024"
"2872","Normal/Others","WS/MP186/2023-2024/81746-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place near Badauna Baba","14-Jan-2024","1994193","10-Mar-2024"
"2873","Normal/Others","WS/MP186/2023-2024/81749-Construction of rainwater harvesting structures","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Beautification work of Amrit Sarovar Pond","14-Jan-2024","4000000","23-Feb-2024"
"2874","Normal/Others","WS/MP186/2023-2024/81750-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","CC construction work up to Scheduled Basti, Baya Mandir, length 300m, width 400m.","14-Jan-2024","3000000","23-Feb-2024"
"2875","Normal/Others","WS/MP186/2023-2024/81752-Construction of culverts and bridges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Flat construction on Machhehua drain","14-Jan-2024","4000000","23-Feb-2024"
